case_name,airfoil,aoa,reynolds,mach,cl,cd,cm,iterations,wall_time_seconds,converged,timestamp,machine_type
naca0012_aoa0,naca0012,0,3000000,0.15,-0.0381041344,0.0165932958,0.010933294,270,4,True,2026-06-30T20:03:21Z,local-docker
naca0012_aoa2,naca0012,2,3000000,0.15,0.130296176,0.0140633054,0.0127388772,2000,25,False,2026-06-30T20:04:18Z,local-docker
naca0012_aoa4,naca0012,4,3000000,0.15,0.270394553,0.00656316826,0.0198406923,2000,27,False,2026-06-30T20:05:17Z,local-docker
ci_test,naca0012,6,3000000,0.15,0.407495566,0.0020000184,0.00918905815,2000,27,False,2026-06-30T22:42:49Z,local-docker
demo,naca0012,6,3000000,0.15,0.407495566,0.0020000184,0.00918905815,2000,26,False,2026-06-30T22:30:08Z,local-docker
naca0012_aoa6,naca0012,6,3000000,0.15,0.407495566,0.0020000184,0.00918905815,2000,27,False,2026-06-30T20:06:16Z,local-docker
test,naca0012,6,3000000,0.15,0.407495566,0.0020000184,0.00918905815,2000,30,False,2026-06-30T22:39:51Z,local-docker
naca0012_aoa8,naca0012,8,3000000,0.15,0.533380722,-0.007279086,0.00945984865,2000,25,False,2026-06-30T20:07:13Z,local-docker
naca0012_aoa10,naca0012,10,3000000,0.15,0.604535398,-0.00405162898,-0.0103701776,2000,25,False,2026-06-30T20:08:10Z,local-docker
naca0012_aoa12,naca0012,12,3000000,0.15,0.695381041,0.000300095032,-0.0388178844,2000,25,False,2026-06-30T20:09:07Z,local-docker
